,broj_tema,avg_rezultata,posto_poz,posto_neg
2021-09-03,1,-0.9943739175796509,0.0,1.0
2021-09-04,4,-0.49781762063503265,0.25,0.75
2021-09-06,13,-0.6888345709213843,0.15384615384615385,0.8461538461538461
2021-09-07,6,-0.624883900086085,0.16666666666666666,0.8333333333333334
2021-09-08,2,-0.9974854588508606,0.0,1.0
2021-09-09,7,-0.6556527359145028,0.14285714285714285,0.8571428571428571
2021-09-10,4,-0.5411243736743927,0.25,0.75
2021-09-11,7,-0.3715265563556126,0.2857142857142857,0.7142857142857143
2021-09-12,4,-0.9969576448202133,0.0,1.0
2021-09-13,9,-0.32865799135631985,0.3333333333333333,0.6666666666666666
2021-09-14,5,-0.19857083559036254,0.4,0.6
2021-09-15,13,-0.5232545595902663,0.23076923076923078,0.7692307692307693
2021-09-16,7,-0.3703545928001404,0.2857142857142857,0.7142857142857143
2021-09-17,10,-0.5913429379463195,0.2,0.8
2021-09-18,5,-0.6679553508758544,0.2,0.8
2021-09-19,13,-0.04415019200398372,0.46153846153846156,0.5384615384615384
2021-09-20,10,-0.379765248298645,0.3,0.7
2021-09-21,7,-0.987659386226109,0.0,1.0
2021-09-22,7,-0.7107371602739606,0.14285714285714285,0.8571428571428571
2021-09-23,9,-0.5525123874346415,0.2222222222222222,0.7777777777777778
2021-09-24,11,-0.2231744582002813,0.36363636363636365,0.6363636363636364
2021-09-25,10,-0.6006489276885987,0.2,0.8
2021-09-26,3,-0.8495194315910339,0.0,1.0
2021-09-27,12,-0.616267537077268,0.16666666666666666,0.8333333333333334
2021-09-28,6,-0.6644073526064554,0.16666666666666666,0.8333333333333334
2021-09-29,10,-0.5941129326820374,0.2,0.8
2021-09-30,3,-0.9734181960423788,0.0,1.0
2021-10-01,5,-0.595078420639038,0.2,0.8
2021-10-02,6,-0.032306025425593056,0.5,0.5
2021-10-03,6,-0.9200630088647207,0.0,1.0
2021-10-04,4,-0.9089650213718414,0.0,1.0
2021-10-05,6,-0.34483474493026733,0.3333333333333333,0.6666666666666666
2021-10-06,4,-0.9943362027406693,0.0,1.0
2021-10-07,2,-0.9953677952289581,0.0,1.0
2021-10-08,6,-0.018013209104537964,0.5,0.5
2021-10-09,3,-0.45863133668899536,0.3333333333333333,0.6666666666666666
2021-10-10,6,-0.6472846468289694,0.16666666666666666,0.8333333333333334
2021-10-11,10,-0.4439024031162262,0.3,0.7
2021-10-12,6,-0.6676935454209646,0.16666666666666666,0.8333333333333334
2021-10-13,8,-0.9827453941106796,0.0,1.0
2021-10-14,3,0.3373300830523173,0.6666666666666666,0.3333333333333333
2021-10-15,1,0.9553419947624207,1.0,0.0
2021-10-16,2,-0.9964527189731598,0.0,1.0
2021-10-17,3,-0.9267656405766805,0.0,1.0
2021-10-18,2,-0.9937807619571686,0.0,1.0
2021-10-19,2,-0.9731812179088593,0.0,1.0
2021-10-20,8,-0.5011033266782761,0.25,0.75
2021-10-21,5,-0.591989803314209,0.2,0.8
2021-10-22,5,-0.5965553045272827,0.2,0.8
2021-10-23,2,-0.9131414294242859,0.0,1.0
2021-10-24,2,0.9979428052902222,1.0,0.0
2021-10-25,3,-0.4749741355578105,0.3333333333333333,0.6666666666666666
2021-10-26,1,-0.9964975714683533,0.0,1.0
2021-10-27,4,-0.013864800333976746,0.5,0.5
2021-10-28,5,-0.5844833731651307,0.2,0.8
2021-10-29,5,-0.5026946783065795,0.2,0.8
2021-10-30,3,-0.34106173117955524,0.3333333333333333,0.6666666666666666
2021-10-31,6,-0.9176756938298544,0.0,1.0
2021-11-01,2,-0.9838912487030029,0.0,1.0
2021-11-02,1,-0.9993070363998413,0.0,1.0
2021-11-03,4,-0.9861245453357697,0.0,1.0
2021-11-04,4,-0.43932898342609406,0.25,0.75
2021-11-05,8,-0.7817118167877197,0.125,0.875
2021-11-06,8,-0.2340962290763855,0.375,0.625
2021-11-07,4,-0.9733790010213852,0.0,1.0
2021-11-08,3,0.2153722047805786,0.6666666666666666,0.3333333333333333
2021-11-09,3,-0.4057633678118388,0.3333333333333333,0.6666666666666666
2021-11-10,4,-0.4982728213071823,0.25,0.75
2021-11-11,8,-0.4679635390639305,0.25,0.75
2021-11-12,7,-0.974759578704834,0.0,1.0
2021-11-13,1,0.9736136794090271,1.0,0.0
2021-11-14,2,-0.8339708745479584,0.0,1.0
2021-11-15,3,-0.2053860823313395,0.3333333333333333,0.6666666666666666
2021-11-16,3,-0.9583282073338827,0.0,1.0
2021-11-17,3,-0.9812954862912496,0.0,1.0
2021-11-18,3,-0.33048784732818604,0.3333333333333333,0.6666666666666666
2021-11-19,8,-0.49957823008298874,0.25,0.75
2021-11-20,4,0.041472434997558594,0.5,0.5
2021-11-21,6,-0.05105600754419962,0.5,0.5
2021-11-22,3,0.30431026220321655,0.6666666666666666,0.3333333333333333
2021-11-23,1,-0.8281646966934204,0.0,1.0
2021-11-24,7,-0.9691050563539777,0.0,1.0
2021-11-25,2,-0.995976597070694,0.0,1.0
2021-11-26,3,-0.7076865434646606,0.0,1.0
2021-11-28,3,-0.3325418035189311,0.3333333333333333,0.6666666666666666
2021-11-29,3,-0.8552731474240621,0.0,1.0
2021-11-30,3,-0.9259836475054423,0.0,1.0
2021-12-01,5,-0.9547376275062561,0.0,1.0
2021-12-02,4,-0.4985901564359665,0.25,0.75
2021-12-03,6,-0.9601267278194427,0.0,1.0
2021-12-04,6,-0.9802825550238291,0.0,1.0
2021-12-05,6,-0.3335225780804952,0.3333333333333333,0.6666666666666666
2021-12-06,6,0.2323907713095347,0.6666666666666666,0.3333333333333333
